Sample in Buffer,Sample in Window,TRIGGER,design_1_i/design_1_i/usp_rf_data_converter_0_m00_axis_tdata_1[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
230,230,0,-280072030005691364
231,231,0,-312723522441380900
232,232,0,-329611883611096160
233,233,0,-560425144137484196
234,234,0,-564928898388920284
235,235,0,-585195285692221460
236,236,0,-591950788218783824
237,237,0,-607713627436419164
238,238,0,-612217398863530100
239,239,0,-734942103641721364
240,240,0,-729312672826984948
241,241,0,-727061079170681364
242,242,0,-724809159102106112
243,243,0,-748453108682263084
244,244,0,-684276126787504524
245,245,0,-698913031734888820
246,246,0,-675268772911319360
247,247,0,-666261384678541636
248,248,0,-650498614181955888
249,249,0,-471477711454537388
250,250,0,-456840703422432860
251,251,0,-444455598284539476
252,252,0,-420811751780451852
253,253,0,-424189331235866104
254,254,0,-397167372692030900
255,255,0,-113436077795246548
256,256,0,-86414273869447532
257,257,0,-70651400288403780
258,258,0,-66147594499457300
259,259,0,-41377418588127460
260,260,0,260086881447838540
261,261,0,280353217213629364
262,262,0,282605601149682668
263,263,0,300619862219162640
264,264,0,316382907598636096
265,265,0,561832695119480744
266,266,0,579847179528308720
267,267,0,594484032937134096
268,268,0,600113790175152128
269,269,0,603491438358694000
270,270,0,613624623422245020
271,271,0,736349723336378856
272,272,0,730720275342297620
273,273,0,736349757698214432
274,274,0,737475657602959904
275,275,0,739727423060052500
276,276,0,687935460400171416
277,277,0,685683437246613904
278,278,0,672172586826991932
279,279,0,662039195602389328
280,280,0,651906079261985052
281,281,0,460500157294970536
282,282,0,458248305941677724
283,283,0,428974616299963924
284,284,0,424470982306301444
285,285,0,415463336375223808
286,286,0,395197223949567392
287,287,0,100206964345405900
288,288,0,104710495250678128
289,289,0,73184885535932764
290,290,0,77688244637270252
291,291,0,41659207094894828
292,292,0,-248546334391599964
293,293,0,-276693900783977364
294,294,0,-284575612453716972
295,295,0,-311597485099516940
296,296,0,-327360204055446612
297,297,0,-571684280647485364
298,298,0,-569432618274326464
299,299,0,-566054918559041580
300,300,0,-587447257308268584
301,301,0,-590825128827488312
302,302,0,-616720809509718112
303,303,0,-734942206724606428
304,304,0,-724808987301317124
305,305,0,-723683276370414120
306,306,0,-729312707186199044
307,307,0,-733816581693573684
308,308,0,-682024464414345616
309,309,0,-679772424081967492
310,310,0,-664009533326821744
311,311,0,-653876623142750512
312,312,0,-655002162269194548
313,313,0,-473729751782721240
314,314,0,-447833727507826252
315,315,0,-437700233200862756
316,316,0,-427567030959015436
317,317,0,-419685559810328056
318,318,0,-408426354580850088
319,319,0,-111184381061824972
320,320,0,-93169501511287140
321,321,0,-81910433720238364
322,322,0,-57140498324455704
323,323,0,-43629458917884132
324,324,0,244324076590465888
325,325,0,270219980615975836
326,326,0,275849720670979032
327,327,0,309627130196001780
328,328,0,311879222073492524
329,329,0,561832557677905804
330,330,0,570840066174486532
331,331,0,580973027899738140
332,332,0,584351191478831132
333,333,0,606869241158436912
334,334,0,600113996339349616
335,335,0,719461052936096268
336,336,0,730720103545178668
337,337,0,731846158069271048
338,338,0,726216606999120448
339,339,0,725090724271098408
340,340,0,692438939767933340
341,341,0,680053972071090568
342,342,0,674424317919627640
343,343,0,663165336027400532
344,344,0,651906233878710584
345,345,0,465003825642866380
346,346,0,446989306870105728
347,347,0,444737180638643792
348,348,0,419967331141682752
349,349,0,406456240196814328
